	code	market	name	sector
1702	036180	KOSDAQ	지더블유바이텍	기계장비 및 관련 물품 도매업
1703	208350	KOSDAQ	지란지교시큐리티	소프트웨어 개발 및 공급업
1704	114570	KOSDAQ	지스마트글로벌	반도체 제조업
1705	051160	KOSDAQ	지어소프트	소프트웨어 개발 및 공급업
1706	053050	KOSDAQ	지에스이	연료용 가스 제조 및 배관공급업
1707	119850	KOSDAQ	지엔씨에너지	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1708	270520	KOSDAQ	지엔원에너지	"건축기술, 엔지니어링 및 관련 기술 서비스업"
1709	065060	KOSDAQ	지엔코	봉제의복 제조업
1710	204840	KOSDAQ	지엘팜텍	자연과학 및 공학 연구개발업
1711	013870	KOSPI	지엠비코리아	자동차 신품 부품 제조업
1712	071320	KOSPI	지역난방공사	"증기, 냉·온수 및 공기조절 공급업"
1713	111820	KOSDAQ	지와이커머스	기타 정보 서비스업
1714	010580	KOSPI	지코	자동차 신품 부품 제조업
1715	035000	KOSPI	지투알	회사 본부 및 경영 컨설팅 서비스업
1716	115450	KOSDAQ	지트리비앤티	기타 전문 도매업
1717	219750	KOSDAQ	지티지웰니스	의료용 기기 제조업
1718	088790	KOSPI	진도	기타 전문 도매업
1719	018120	KOSDAQ	진로발효	알코올음료 제조업
1720	109820	KOSDAQ	진매트릭스	자연과학 및 공학 연구개발업
1721	086060	KOSDAQ	진바이오텍	동물용 사료 및 조제식품 제조업
1722	036890	KOSDAQ	진성티이씨	특수 목적용 기계 제조업
1723	003780	KOSPI	진양산업	플라스틱제품 제조업
1724	007370	KOSDAQ	진양제약	의약품 제조업
1725	010640	KOSPI	진양폴리	플라스틱제품 제조업
1726	100250	KOSPI	진양홀딩스	플라스틱제품 제조업
1727	051630	KOSPI	진양화학	플라스틱제품 제조업
1728	272450	KOSPI	진에어	항공 여객 운송업
1729	011000	KOSPI	진원생명과학	의약품 제조업
1730	002780	KOSPI	진흥기업	토목 건설업
1731	085660	KOSDAQ	차바이오텍	기초 의약물질 및 생물학적 제제 제조업
1732	009310	KOSPI	참엔지니어링	특수 목적용 기계 제조업
1733	094850	KOSDAQ	참좋은여행	여행사 및 기타 여행보조 서비스업
1734	004650	KOSDAQ	창해에탄올	알코올음료 제조업
