       code  ratio  ratio_price
619  000040   1.36         0.98
620  033310   1.36         0.96
621  038340   1.36         0.98
622  106520   1.36         0.99
623  030790   1.37         0.95
624  223220   1.37         0.98
625  092590   1.37         0.98
626  208850   1.37         0.98
627  065150   1.39         0.96
628  184230   1.42         0.97
629  210120   1.44         0.99
630  000370   1.48         0.99
631  058420   1.49         0.95
632  340570   1.49         0.95
633  094850   1.51         0.96
634  185190   1.59         0.97
635  019170   1.61         0.96
636  019770   1.74         0.95
637  082850   1.79         0.98
